date,platform,agenda,topic,persona,mentions,engagement,sentiment,source,title,url,notes
2026-05-27,新闻/网站,开幕式,智能硬件,媒体,1,,,TechNode,"At BEYOND Expo 2026, XREAL CEO predicts an iPhone moment for AI glasses",https://technode.com/2026/05/27/at-beyond-expo-2026-xreal-ceo-predicts-an-iphone-moment-for-ai-glasses/,TechNode 公开报道，可核验；未公开阅读、分享或评论数据。
2026-05-27,新闻/网站,BGlobal新品发布,AI,媒体,1,,,TechNode,From video understanding to edge deployment Om AI targets real-world AI,https://technode.com/2026/05/27/from-video-understanding-to-edge-deployment-om-ai-targets-real-world-ai/,TechNode 公开报道，可核验；未公开阅读、分享或评论数据。
2026-05-27,新闻/网站,开幕式,AI,媒体,1,,,TNGlobal,AI: digital to physical – the 6th BEYOND EXPO is set to open in Macau,https://technode.global/2026/05/27/ai-digital-to-physical-the-6th-beyond-expo-is-set-to-open-in-macau/,TNGlobal 公开报道/媒体合作稿，可核验；未公开互动量。
2026-05-27,小红书,展区开放,AI,KOL/创作者,1,29,,Olivia奥莉杨,谁在🌟澳门Beyond Expo AI科技展,https://www.rednote.com/explore/6a15a4080000000037034abc,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：29；日期按页面显示“6天前”折算。
2026-05-27,小红书,展区开放,展商故事,KOL/创作者,1,2179,,超级Dunk,拒绝看热闹！BEYOND Expo2026前沿速递,https://www.rednote.com/explore/6a150274000000000702ef49,小红书网页版人工采集；补搜关键词「beyondexpo2026」；页面显示互动：2179；日期按页面显示“6天前”折算。
2026-05-27,LinkedIn,展区开放,AI,参展商,1,28,,InnoX Shenzhen,30 Shenzhen startups bring AI + hardware products to BEYOND Expo 2026,https://www.linkedin.com/company/beyond-expo,LinkedIn 公开公司页采样；BEYOND Expo 转发 InnoX Shenzhen 更新，页面显示“6d”，按 2026-06-02 折算为 5月27日；公开 reactions：28；非原帖直链，按公司页更新核验。
2026-05-27,LinkedIn,展区开放,AI,参展商,1,30,,Nikoloz Turazashvili / Vexrail,Vexrail public launch at BEYOND Expo 2026,https://www.linkedin.com/company/beyond-expo,LinkedIn 公开公司页采样；BEYOND Expo 转发 Vexrail 创始人更新，页面显示“6d”，按 2026-06-02 折算为 5月27日；公开 reactions：30，另显示 12 comments；非原帖直链。
2026-05-28,微信,展区开放,国际合作,参展商,1,,,倍联德实业,"算力出海,亮相国际 | 倍联德受邀参展 BEYOND Expo 2026,携锐影工作站登陆澳门国际科技盛会",,"搜狗微信搜索第 9 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：2026 年 5 月 27 日 - 30 日,第六届 BEYOND 国际科技创新博览会(BEYOND Expo 2026)于澳门威尼斯人金光会展中心盛大启幕.."
2026-05-28,微信,展区开放,国际合作,参展商,1,,,看到科技,AI赋能高效协作:看到科技多款会议产品亮相BEYOND Expo 2026,,"搜狗微信搜索第 7 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：日,亚洲极具影响力的年度科技盛会 —— BEYOND Expo 2026 于中国澳门盛大举行.本届博览会以 “AI:数实共生“ 为核心主题,..."
2026-05-28,微信,开幕式,国际合作,媒体,1,,,有新Newin,BEYOND Expo 2026:AI 开始进入真实场景,,"搜狗微信搜索第 1 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5 月 27 日,BEYOND Expo 2026 在澳门开幕.今年大会主题是“AI:数实共生“.相比 2025 年“赋能亚洲,连接世界“,今年的讨..."
2026-05-28,微信,展区开放,国际合作,参展商,1,,,珠海高新区,特首到访!珠海高新区硬核科技亮相2026 BEYOND EXPO,,"搜狗微信搜索第 8 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5月27日,亚洲规模最大、影响力最广的国际科技创新盛会——BEYOND Expo 2026在澳门威尼斯人金光会展中心启幕.本届展会以“..."
2026-05-28,微信,展区开放,智能硬件,参展商,1,,,AINGOODS硬集谷,"在BEYOND Expo,我们看到智能硬件未来的更多可能...",,"搜狗微信搜索第 10 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：国际科技创新博览会(BEYOND Expo 2026)在中国澳门举办.笔者在第一时间来到了现场,给即将到场的朋友们做一次前瞻,也给未..."
2026-05-28,微信,展区开放,智能硬件,官方/主办方,1,,,BEYOND Expo,"讯飞AI眼镜亮相BEYOND Expo 2026,拓展AI终端走向真实场景新路径",,"搜狗微信搜索第 2 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：2026举办场地BEYOND Expo 2026 今年继续在澳门威尼斯人金光会展举办.作为澳门最大的综合度假村营运商,金沙中国有限公司旗..."
2026-05-28,微信,展区开放,国际合作,KOL/创作者,1,,,CityU生活圈,"亚洲最大科技盛会!BEYOND Expo 2026全攻略,澳门学生免费入场",,"搜狗微信搜索第 5 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5月27日-30日,亚洲规模最大的科技盛会——BEYOND Expo 2026,正在澳门威尼斯人金光会展中心举行.近800家全球科技企业、..."
2026-05-28,微信,展区开放,智能硬件,媒体,1,,,ShenzhenDaily,Shenzhen takes center stage at Macao expo 深圳闪耀BEYOND Expo 2026:科技创新力量亮相澳门,,搜狗微信搜索第 8 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：Shenzhen exhibition area during BEYOND Expo 2026 in Macao today. Shenzhen startu
2026-05-28,小红书,展区开放,AI,KOL/创作者,1,3,,龚海瀚,持续关注 BEYOND Expo 2026,https://www.rednote.com/explore/6a16df6e000000000803ceed,小红书网页版人工采集；关键词「BEYOND Expo 2026」；页面显示互动：3；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,媒体,1,13,,雷科技,这个科技博览会杀疯了！谁说澳门只有娱乐场,https://www.rednote.com/explore/6a16b5060000000036030e81,小红书网页版人工采集；关键词「BEYOND国际科技创新博览会」；页面显示互动：13；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,KOL/创作者,1,18,,南山区老干部,来澳门参展喽,https://www.rednote.com/explore/6a17135800000000360328a3,小红书网页版人工采集；关键词「BEYOND Expo 澳门」；页面显示互动：18；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,KOL/创作者,1,3,,清华怡姐说税,有来澳门beyond expo的朋友吗,https://www.rednote.com/explore/6a16ee4d000000003501ca64,小红书网页版人工采集；关键词「数实共生 BEYOND」；页面显示互动：3；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,KOL/创作者,1,11,,山河野人记,澳门初探 | 当我被吸入这欢乐场,https://www.rednote.com/explore/6a1712d800000000350291bb,小红书网页版人工采集；关键词「BEYOND Expo 澳门」；页面显示互动：11；日期按页面显示“5天前”折算。
2026-05-28,小红书,开幕式,AI,KOL/创作者,1,6,,殷晓玥Victoria,2026Beyond Expo开幕式,https://www.rednote.com/explore/6a16a78f0000000006023ce4,小红书网页版人工采集；关键词「BEYOND Expo 2026」；页面显示互动：6；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,AI,参展商,1,1,,Dana科技猎头Young Boss,Beyond Expo2026 Opening Ceremony,https://www.rednote.com/explore/6a1789fd000000003601b5df,小红书网页版人工采集；关键词「数实共生 BEYOND」；页面显示互动：1；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,参展商,1,43,,Wilo,澳门见！Wilo诚邀共赴BEYOND Expo,https://www.rednote.com/explore/6a15176f000000000803f670,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：43；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,参展商,1,32,,Cyan Amoo,Beyond Expo开展仅剩1天⏳ Amoo送门票了！,https://www.rednote.com/explore/6a16a78d0000000006034cd5,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：32；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,参展商,1,16,,ApexFlow,有在澳门 BEYOND Expo 现场的朋友吗？,https://www.rednote.com/explore/6a16a1ce00000000070299a2,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：16；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,AI,参展商,1,15,,暗壳AI,BEYOND Expo 2026 现场见！,https://www.rednote.com/explore/6a16bd8d00000000080314d5,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：15；日期按页面显示“5天前”折算。
2026-05-28,小红书,展区开放,展商故事,KOL/创作者,1,11,,Kenhsu01,Beyond Expo 2026 首日全记录🔥,https://www.rednote.com/explore/6a171e9d0000000006035704,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：11；日期按页面显示“5天前”折算。
2026-05-28,新闻/网站,开幕式,AI,媒体,1,,,大湾区时报,BEYOND Expo 2026國際科技創新博覽會在澳門盛大開幕,https://www.baytvs.com/guoji/gsdt/20260528/6989.html,港澳/大湾区媒体公开报道，可核验；未公开互动量。
2026-05-28,新闻/网站,开幕式,智能硬件,媒体,1,,,新浪财经,让讯飞、XREAL、普渡畅谈AI硬件未来，澳门Beyond展会什么来头？,https://finance.sina.cn/stock/jdts/2026-05-28/detail-inhzmtwq8609776.d.html,新浪财经公开报道，可核验；未公开互动量。
2026-05-28,新闻/网站,BGlobal新品发布,创作者经济,媒体,1,,,TechNode,Ziyouliangji aims to use AI music platform Hitto to turn everyone into a song creator,https://technode.com/2026/05/28/ziyouliangji-aims-to-use-ai-music-platform-hitto-to-turn-everyone-into-a-song-creator/,TechNode 公开报道，可核验；未公开阅读、分享或评论数据。
2026-05-28,新闻/网站,BGlobal新品发布,智能硬件,媒体,1,,,TNGlobal,iFLYTEK to launch AI glasses at BEYOND Expo 2026,https://technode.global/2026/05/28/iflytek-to-launch-ai-glasses-at-beyond-expo-2026/,TNGlobal 公开转载/报道，可核验；未公开互动量。
2026-05-28,LinkedIn,BGlobal新品发布,智能硬件,官方/主办方,1,18,,BEYOND Expo,Global Launches. 11 Products. One Afternoon.,https://www.linkedin.com/company/beyond-expo,LinkedIn 公开公司页采样；页面显示“5d Edited”，按 2026-06-02 折算为 5月28日；公开 reactions：18；内容指向 BGlobal Product Launch 直播预告。
2026-05-28,LinkedIn,展区开放,AI,参展商,1,,,Vexrail,Meet Vexrail Founder & CEO at BEYOND Expo 2026 Booth SK001,https://sg.linkedin.com/company/vexrail,LinkedIn 公开公司页采样；Vexrail 页面显示“5d”，按 2026-06-02 折算为 5月28日；公开页未显示可核验互动数。
2026-05-29,官网/新闻稿,国际科技论坛,Web3,参展商,1,,,PR Newswire / KuCoin,KuCoin CMO at BEYOND Expo: Trust Is Becoming the New Infrastructure for Web3,https://www.prnewswire.com/news-releases/kucoin-cmo-at-beyond-expo-trust-is-becoming-the-new-infrastructure-for-web3-302785553.html,参展/论坛企业新闻稿源站，可核验；未公开社交互动量。
2026-05-29,官网/新闻稿,BEYOND Awards,智能硬件,参展商,1,,,PR Newswire / Makera,"Makera Showcases Z1 at BEYOND Expo 2026, Wins Best of Innovation Award",https://www.prnewswire.com/apac/news-releases/makera-showcases-z1-at-beyond-expo-2026-wins-best-of-innovation-award-for-making-precision-cnc-more-accessible-302784945.html,获奖企业新闻稿源站，可核验；未公开社交互动量。
2026-05-29,微信,展区开放,国际合作,参展商,1,,,艾菲尔香港科技,Beyond Expo 2026 澳门,,"搜狗微信搜索第 2 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：2026年5月27日至30日,亚洲规模最大的科技创新与生态博览会BEYOND Expo 2026将在中国澳门威尼斯人金光会展中心举办...."
2026-05-29,微信,展区开放,国际合作,参展商,1,,,宸境科技,让机器看懂世界:宸境科技携三大核心产品亮相 BEYOND Expo 2026,,"搜狗微信搜索第 9 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5月28日,宸境科技正式亮相澳门BEYOND国际科技创新博览会(BEYOND Expo).作为亚洲最具影响力的科技盛会之一,BEYOND ..."
2026-05-29,微信,BEYOND Awards,智能硬件,参展商,1,,,出门问问AIGC,出门问问TicNote Pods 4G AI录音耳机荣获 BEYOND Expo 2026 Best of Innovation Awards,,"搜狗微信搜索第 10 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND Expo是亚洲规模最大的国际科技博览会之一,本届汇聚... 2026荣获＂Best of Kickstarter＂之后,TicNote Pods"
2026-05-29,微信,展区开放,国际合作,媒体,1,,,高維引力,"在澳門,看見AI從「數字」走向「物理」——BEYOND Expo 2026現場觀察",,"搜狗微信搜索第 7 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5月27日至30日,第六屆BEYOND Expo在澳門威尼斯人金光會展... 2026上拿到22萬個讚,被Yahoo、Engadget等40多家媒體報導...."
2026-05-29,微信,BEYOND Awards,机器人,参展商,1,,,灵童机器人,灵童机器人澳门首秀!斩获 BEYOND Expo 2026 创新大奖,,"搜狗微信搜索第 3 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：灵童机器人首次登陆澳门BEYOND Expo 2026,灵童机器人便以全球最小60cm自主行走桌面人形机器人惊艳国际舞台,并从全球800余..."
2026-05-29,微信,开幕式,国际合作,参展商,1,,,龙岗企服,"BEYOND Expo 2026即将开幕,龙岗展团产品清单请查收",,搜狗微信搜索第 3 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：2026年5月27日-30日第六届BEYOND国际科技创新博览会将在澳门威尼斯人金光会展中心盛大举办本届展会以「AI:数实共生」为主...
2026-05-29,微信,展区开放,智能硬件,参展商,1,,,莫界科技,"莫界受邀出席 BEYOND Expo 2026,彰显光学硬实力",,"搜狗微信搜索第 5 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：近日,全球顶尖科技创新盛会 BEYOND Expo 2026 在澳门威尼斯人金光会展中心盛大启幕,莫界凭借 AI+AR 光学领域的顶尖硬实力,..."
2026-05-29,微信,展区开放,机器人,参展商,1,,,全球首家人工智能6S店,"人工智能6S店携自研智能体盒子LongMini 亮相BEYOND Expo 2026,解码AI硬件出海新范式",,"搜狗微信搜索第 7 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5月28日,第六届BEYOND国际科技创新博览会(BEYOND Expo 2026)的聚光灯下,由深圳市龙岗区人工智能(机器人)署主办、全..."
2026-05-29,微信,开幕式,国际合作,媒体,1,,,特科技时尚,AI数实共生 迈向物理世界——BEYOND Expo 2026在澳门盛大开幕,,"搜狗微信搜索第 7 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：5月27日下午,BEYOND Expo 2026国际科技创新博览会开幕式在澳门巴黎人酒店·巴黎人剧场隆重举行.本届博览会以“AI:数实共..."
2026-05-29,微信,开幕式,机器人,媒体,1,,,亿邦产业,BEYOND Expo 2026:机器人、智能眼镜、Agent 物理AI如何落地?,,"搜狗微信搜索第 1 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：文丨吕哲彤如果说,过去两年的AI叙事更多围绕大模型、算力和应用入口展开,那么在BEYOND Expo 2026开幕式上,我们注意到,..."
2026-05-29,微信,展区开放,国际合作,参展商,1,,,珠西博士科技创新服务平台,【活动报名】江门市高才会联合博士科技:诚邀参加2026 BEYOND EXPO国际科技创新博览会,,"搜狗微信搜索第 9 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND EXPO 2026简介中文版.pdf扫描下方海报二维码添加微信,备注 「姓名+单位」,欢迎各位积极报名,共赴澳门,见证科技未..."
2026-05-29,微信,国际科技论坛,国际合作,官方/主办方,1,,,BEYOND Expo,"岑浩辉到BEYOND Expo 2026展区调研,支持本澳创新科技持续发展",,"搜狗微信搜索第 3 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND Expo 2026通过展览展示、论坛讨论和商务洽谈,让前沿技术、产业应用和国际合作需求在澳门集中交流,也为粤港澳大湾区..."
2026-05-29,微信,展区开放,机器人,官方/主办方,1,,,BEYOND Expo,机器人在线猜拳、AR测肤、低空飞行......来BEYOND Expo 2026提前过一把“未来生活“,,搜狗微信搜索第 3 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND Expo 2026展区在澳门威尼斯人金光会展持续开启.近800家国际参展企业围绕AI大模型与数字基础设施、具身智能与机器人...
2026-05-29,微信,展区开放,AI,KOL/创作者,1,,,Cynthia的奇妙冒险,Beyond Expo 2026,,"搜狗微信搜索第 6 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：今年这里像“家门口的CES“,但更务实——没有那么多＂未来已来＂的宏大叙事,满场都是＂这个到底怎么落地＂的真问题.和老朋..."
2026-05-29,微信,开幕式,机器人,媒体,1,,,DoNews,BEYOND Expo 2026观察:AI、眼镜和机器人,,"搜狗微信搜索第 2 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：撰文 | 程书书编辑 | 李信马题图 | BEYOND Expo 2026大会在BEYOND Expo 2026开幕式上,BEYOND Expo 联合创始人贺建"
2026-05-29,微信,展区开放,国际合作,参展商,1,,,MEIKE 美刻,Meike美刻亮相BEYOND Expo 2026,,"搜狗微信搜索第 1 页结果；原文直链未稳定解析，点击“搜索线索”按标题回搜。摘要：BEYOND EXPO 2026澳门,2026年5月27日 —— 第六届BEYOND国际科技创新博览会(BEYOND Expo 2026)在澳门威尼斯人金光.."
2026-05-29,小红书,展区开放,智能硬件,KOL/创作者,1,21,,阿卡姆之花,澳门特首岑浩辉先生BEYONDExpo首日观展,https://www.rednote.com/explore/6a17fe310000000007020081,小红书网页版人工采集；关键词「BEYOND Expo 澳门」；页面显示互动：21；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,Web3,KOL/创作者,1,8,,安哥的商业决策笔记,BEYOND EXPO：发现Token在重估一切,https://www.rednote.com/explore/6a1831e600000000380370ad,小红书网页版人工采集；关键词「BEYOND Expo 澳门」；页面显示互动：8；日期按页面显示“4天前”折算。
2026-05-29,小红书,BGlobal新品发布,智能硬件,媒体,1,5,,半导体AI具身机器人观察,科大讯飞AI眼镜在澳门发布！,https://www.rednote.com/explore/6a17f63c000000000702bb76,小红书网页版人工采集；关键词「科大讯飞 AI眼镜 BEYOND」；页面显示互动：5；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,AI,媒体,1,2,,科技行者,暴走BEYOND Expo 2026！🚶🏻‍♀️,https://www.rednote.com/explore/6a183a7e0000000036032e76,小红书网页版人工采集；关键词「BEYOND Expo 2026」；页面显示互动：2；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,智能硬件,KOL/创作者,1,118,,王蒂姆,BEYOND首日💻👓 刷新认知科技改变工作流,https://www.rednote.com/explore/6a17ea3e0000000008003ad3,小红书网页版人工采集；关键词「BEYOND Expo 2026」；页面显示互动：118；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,KOL/创作者,1,7,,斜杠中女S姐,参加亚洲最夯的展会是什么感受,https://www.rednote.com/explore/6a18511a0000000038036653,小红书网页版人工采集；关键词「BEYOND国际科技创新博览会」；页面显示互动：7；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,KOL/创作者,1,2,,昕桐｜首席具身官,澳门的 BEYOND 2026 ，“亚洲版CES”?,https://www.rednote.com/explore/6a17ce02000000000603291d,小红书网页版人工采集；关键词「数实共生 BEYOND」；页面显示互动：2；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,智能硬件,媒体,1,4,,知外Global AI Growth,智能硬件的AI落地场｜Beyond Expo,https://www.rednote.com/explore/6a182f0c0000000008026720,小红书网页版人工采集；关键词「BEYOND Expo 2026」；页面显示互动：4；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,机器人,KOL/创作者,1,4,,中年少女探索世界,澳门BEYOND Expo到处都是机器人,https://www.rednote.com/explore/6a17b799000000003803776c,小红书网页版人工采集；关键词「BEYOND国际科技创新博览会」；页面显示互动：4；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,KOL/创作者,1,39,,Arc安格增长,在澳门Beyond Expo的第1天，我们看到4️⃣件事,https://www.rednote.com/explore/6a183ef10000000035022770,小红书网页版人工采集；关键词「BEYOND国际科技创新博览会」；页面显示互动：39；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,参展商,1,6,,BoltzLog熵约智能,🇲🇴BEYOND展会的朋友请举手🙋,https://www.rednote.com/explore/6a1806b300000000060306aa,小红书网页版人工采集；关键词「数实共生 BEYOND」；页面显示互动：6；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,KOL/创作者,1,26,,Jennie,同在澳门🇲🇴BEYONDExpo科技展会的朋友举手,https://www.rednote.com/explore/6a16642b0000000038034a68,小红书网页版人工采集；关键词「BEYOND Expo 澳门」；页面显示互动：26；日期按页面显示“4天前”折算。
2026-05-29,小红书,BGlobal新品发布,智能硬件,KOL/创作者,1,4,,Johnlin的笔记,科大讯飞发布AI眼镜售价4299元,https://www.rednote.com/explore/6a1864a700000000380238c1,小红书网页版人工采集；关键词「科大讯飞 AI眼镜 BEYOND」；页面显示互动：4；日期按页面显示“4天前”折算。
2026-05-29,小红书,国际科技论坛,展商故事,KOL/创作者,1,5,,KL,BEYOND EXPO国际科技创新峰会🥂,https://www.rednote.com/explore/6a1857e60000000008027751,小红书网页版人工采集；关键词「数实共生 BEYOND」；页面显示互动：5；日期按页面显示“4天前”折算。
2026-05-29,小红书,BGlobal新品发布,智能硬件,KOL/创作者,1,9,,V0 的Neo,硬核科技展，被我玩出了度假感⛱️,https://www.rednote.com/explore/6a18180d0000000006032b75,小红书网页版人工采集；关键词「科大讯飞 AI眼镜 BEYOND」；页面显示互动：9；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,KOL/创作者,1,27,,Weekender+,澳门BEYOND Expo 展览，科技感拉满!,https://www.rednote.com/explore/6a17d9400000000038021860,小红书网页版人工采集；关键词「BEYOND国际科技创新博览会」；页面显示互动：27；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,展商故事,参展商,1,3,,Upsello,BEYOND Expo｜求展位坐标！串门模式开启,https://www.rednote.com/explore/6a17e7c10000000036001eeb,小红书网页版人工采集；补搜关键词「beyond expo」；页面显示互动：3；日期按页面显示“4天前”折算。
2026-05-29,小红书,展区开放,机器人,KOL/创作者,1,15,,机器人小白,在Beyond Expo，这家机器人被澳门特首“点名”,https://www.rednote.com/explore/6a181fc90000000008025928,小红书网页版人工采集；补搜关键词「BEYONDExpo」；页面显示互动：15；日期按页面显示“4天前”折算。
2026-05-29,新闻/网站,BGlobal新品发布,智能硬件,媒体,1,,,华夏时报 / 新浪财经,戴在鼻梁上的“AI助理”：科大讯飞40克眼镜入局，智能穿戴的“刚需时刻”还有多远？,https://finance.sina.com.cn/stock/relnews/cn/2026-05-29/doc-inhzqpth7886421.shtml,新浪财经转载华夏时报公开报道，可核验；未公开互动量。
2026-05-29,新闻/网站,开幕式,机器人,媒体,1,,,经济观察报 / 新浪财经,BEYOND Expo 2026观察：AI硬件火爆，中东主权基金开始筛选中国公司,https://finance.sina.com.cn/stock/t/2026-05-29/doc-inhzpspr9557180.shtml,新浪财经转载经济观察报公开报道，可核验；未公开互动量。
2026-05-29,新闻/网站,BGlobal新品发布,智能硬件,媒体,1,,,上观新闻 / 新浪财经,40克机身+超级AI助理，讯飞AI眼镜发布！“百镜大战”迎“重磅玩家”,https://finance.sina.com.cn/stock/t/2026-05-29/doc-inhzpfxv9623332.shtml,新浪财经转载上观新闻公开报道，可核验；未公开互动量。
2026-05-29,新闻/网站,BGlobal新品发布,智能硬件,媒体,1,,,新浪科技,讯飞AI眼镜发布：整机仅重40克，售价4299元,https://finance.sina.com.cn/tech/shenji/2026-05-29/doc-inhzpwvq7979618.shtml,新浪科技公开报道，可核验；未公开互动量。
2026-05-29,新闻/网站,展区开放,医疗健康,媒体,1,,,新浪数码,英伟达、腾讯、阿里、华为、金茉亮相“亚洲CES”BEYOND国际科技创新博览会，共话科技创新,https://finance.sina.com.cn/tech/elec/xpfb/2026-05-29/doc-inhzpwvs0887955.shtml,新浪数码公开报道，可核验；未公开互动量。
